source,fetch_time,row_index,page,title,publish_time,status,impressions,reads,click_rate_estimate,likes,comments,revenue,dedupe_status
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,1,1,云南出手了，投诉量前50的旅行社全部被约谈！,2026-08-19 14:00,已发布|首发,15,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,2,1,17岁女孩坐顺风车，被锁车内暴晒近2小时 向家人求救！,2026-08-19 12:00,已发布|首发,0,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,3,1,考驾照的人为何变少了，驾校的黄金时代过去了？,2026-08-19 08:00,已发布|已推送|首发,16,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,4,1,爸爸带14岁厌学儿子三伏天送外卖！,2026-08-19 06:00,已发布|已推送|首发,671,16,2.38%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,5,1,广东上调最低工资，新一轮涨工资开始了！,2026-08-19 04:00,已发布|首发,9,1,11.11%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,6,1,你手里的手机壳，可能是医疗垃圾做的！,2026-08-19 00:21,已发布|首发,18,0,0.00%,0,1,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,7,1,胖东来闭店员工称全员去新店！,2026-08-17 12:00,已发布|首发,20,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,8,1,市场占有率超6成！中国车发现新大陆！,2026-08-17 08:00,已发布|已推送|首发,144,13,9.03%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,9,1,废油变身抢手货 出口订单排到明年！,2026-08-17 06:00,已发布|首发,36,1,2.78%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,10,1,许昌 胖东来 附近老板流泪说舍不得！,2026-08-17 04:00,已发布|首发,19,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,11,2,多名成年人被父母送进矫治机构！,2026-08-17 02:00,已发布|首发,17,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,12,2,请3天假就能连休13天，这个拼假方案今天刷屏了！,2026-08-16 21:13,已发布|首发,2039,2,0.10%,0,1,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,13,2,TikTok允许用户降低AI内容比例，真正变化的是流量由谁决定！,2026-07-27 12:00,已发布|首发,1034,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,14,2,TikTok开始识别AI批量垃圾账号，真正被淘汰的可能不是AI,2026-07-27 10:00,已发布|首发,1054,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,15,2,能源成本上涨，但企业不敢向消费者提价？,2026-07-27 08:00,已发布|首发,1065,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,16,2,KFC和必胜客靠折扣恢复增长，但低价不能直接复制！,2026-07-27 06:00,已发布|首发,1212,6,0.50%,0,1,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,17,2,消费贷款违约创新高，低收入用户正在主动缩减需求！,2026-07-27 04:00,已发布|首发,963,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,18,2,中国线上餐饮增长13.9%，餐饮入口继续向数字渠道迁移！,2026-07-27 02:37,已发布|已推送|首发,2394,25,1.04%,0,1,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,19,2,24批次食品不合格，别等吃进嘴才知道,2026-07-25 13:00,已发布|首发,1247,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,20,2,亚马逊最高退51美元：自动续费该查了,2026-07-25 11:00,已发布|首发,2136,74,3.46%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,21,3,携程被罚没51.79亿元：你订酒店时看到的“最低价”到底谁说了算,2026-07-25 09:06,已发布|首发,1282,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,22,3,8年质保到期后，电车车主才发现：最贵的可能不是买车,2026-07-24 13:00,已发布|首发,1531,14,0.91%,0,1,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,23,3,317万年终奖截图传出去后被辞退：职场人真正该怕的不是炫富,2026-07-24 11:54,已发布|首发,1520,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,24,3,贵州遵义多部门查处抠脚汉扮美女卖酒涉事公司！,2026-07-24 06:00,已发布|首发,1381,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,25,3,68元请香结账变952元，湖南衡阳通报涉事商行罚款4000元，停业7天,2026-07-24 04:00,已发布|首发,870,2,0.23%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,26,3,自驾新能源汽车跨境遭远程锁车超30小时，车主称事前未提醒！,2026-07-24 02:00,已发布|首发,798,2,0.25%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,27,3,特斯拉营收增长26%，利润却下降：卖得更多，为什么赚钱更难？,2026-07-23 17:00,已发布|首发,957,0,0.00%,0,0,,snapshot
toutiao_mp_works_list,2026-08-19T17:15:39.228Z,28,3,亚马逊裁减AGI团队岗位，AI研发开始接受业务优先级审查！,2026-07-23 15:01,已发布|首发,868,0,0.00%,0,0,,snapshot
